Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Size,Order_Quantity, Unit_Cost , Unit_Price , Profit , Cost , Revenue 
12/1/2021,1,December,2021,44,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,mountain-200 silver,42,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/1/2021,1,December,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,mountain-200 black,46,4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
12/2/2021,2,December,2021,31,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,mountain-400-w silver,42,1,$420.00 ,$769.00 ,$349.00 ,$420.00 ,$769.00 
12/2/2021,2,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,mountain-400-w silver,46,2,$420.00 ,$769.00 ,$698.00 ,$840.00 ,"$1,538.00 "
12/3/2021,3,December,2021,24,Youth (<25),F,United Kingdom,England,Bikes,Mountain Bikes,mountain-200 black,38,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/3/2021,3,December,2021,37,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,mountain-200 black,46,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/3/2021,3,December,2021,37,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,mountain-200 black,46,2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
12/4/2021,4,December,2021,31,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,mountain-400-w silver,42,4,$420.00 ,$769.00 ,"$1,396.00 ","$1,680.00 ","$3,076.00 "
12/5/2021,5,December,2021,37,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,mountain-200 black,46,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/5/2021,5,December,2021,35,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,mountain-200 silver,38,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
