Sales_Order #,1,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Model,Order_Quantity,Colour,Size,Order_Quantity, Unit_Cost , Unit_Price , Profit , Cost ,Revenue,Sales Summary,
261695,1,12-01-2021,1,December,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,88,Black,46,4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00",261695: 4 Mountain Bikes - 01/12/2021,261695: 4 Mountain Bikes - 44208
261695,2,12-01-2021,1,December,2021,44,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",Mountain-200,,Silver,42,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261696: 1 Mountain Bikes - 01/12/2021,
261695,3,12-02-2021,2,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",Mountain-400,,Silver,46,2,$420.00,$769.00,$698.00,$840.00,"$1,538.00",261697: 2 Mountain Bikes - 02/12/2021,
261698,1,12-02-2021,2,December,2021,31,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",Mountain-400,,Silver,42,1,$420.00,$769.00,$349.00,$420.00,$769.00,261698: 1 Mountain Bikes - 02/12/2021,
261699,1,12-03-2021,3,December,2021,37,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,,Black,46,2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00",261699: 2 Mountain Bikes - 03/12/2021,
261700,1,12-03-2021,3,December,2021,24,Youth (<25),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",Mountain-200,,Black,38,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261700: 1 Mountain Bikes - 03/12/2021,
261700,2,12-03-2021,3,December,2021,37,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,,Black,46,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261701: 1 Mountain Bikes - 03/12/2021,
261702,1,12-04-2021,4,December,2021,31,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",Mountain-400,,Silver,42,4,$420.00,$769.00,"$1,396.00","$1,680.00","$3,076.00",261702: 4 Mountain Bikes - 04/12/2021,
261703,1,12-05-2021,5,December,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,,Black,46,4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00",261703: 4 Mountain Bikes - 05/12/2021,
261704,1,12-05-2021,5,December,2021,42,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Black, 38",Mountain-200,,Black,38,4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00",261704: 4 Mountain Bikes - 05/12/2021,
261705,1,12-05-2021,5,December,2021,35,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261705: 1 Mountain Bikes - 05/12/2021,
